Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text
Ugzbww4C_m00T927xpV4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-09T15:35:34.733919+00:00,0,,,5FLIqReiO_k,"{""text"":""In case it is helpful, all my adventure videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrHibl4QWCdjT-dvvJzKcyK7"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrHibl4QWCdjT-dvvJzKcyK7""}},{""text"":"".  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
UgznpwZBhHlpXT87YNN4AaABAg.9Fndzqef_lf9Fo3-wgldC0,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-08T16:36:20.559807+00:00,0,UgznpwZBhHlpXT87YNN4AaABAg,,FgF-QfbP7zc,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugx1HnJXFBaChJPMOKN4AaABAg.9FngkkdL8lX9Fo2y9d39Dc,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-08T16:35:57.784128+00:00,0,Ugx1HnJXFBaChJPMOKN4AaABAg,,OUwfE_-tcfo,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgyO7Zhg_LO435Lmvc14AaABAg.9FfeuHTv7rh9FgrXl4-oyC,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-05T21:32:40.834795+00:00,0,UgyO7Zhg_LO435Lmvc14AaABAg,,pXvAh1IOO4U,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugwsmh-B_XXb2hiCANt4AaABAg.9FaLYi5r4hh9FgflY1t8M6,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-05T19:49:50.423647+00:00,0,Ugwsmh-B_XXb2hiCANt4AaABAg,,qCgqYNhmmDE,"{""text"":""My pleasure, thanks for watching!""}"
Ugx9yZHYxkCRJBLE1cV4AaABAg.9FdSOmSvV4z9FdgODhTNf4,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-04T15:57:32.206042+00:00,0,Ugx9yZHYxkCRJBLE1cV4AaABAg,,m7c45On2eYk,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugwb-0nr67XUN9mVrTx4AaABAg.9FZiBU_21Tl9F_CP_wCwGt,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-02T22:09:52.720088+00:00,0,Ugwb-0nr67XUN9mVrTx4AaABAg,,FLQXW6G9P8I,"{""text"":""Glad it was helpful!""}"
UgwhVDa9t9UbWTq5D9N4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-02T15:52:51.015182+00:00,0,,,GpA6u3KR7EQ,"{""text"":""In case it is helpful, here are all my Harbor Freight videos in a single playlist ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrGKOH3kG0AjIS-NtGOuMzwG"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrGKOH3kG0AjIS-NtGOuMzwG""}},{""text"":"".  In addition, here are all my van videos in a single playlist ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrF5nO7cmNTc4cct0miFWdO6"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrF5nO7cmNTc4cct0miFWdO6""}},{""text"":"".  ""},{""text"":""\n""},{""text"":""\n""},{""text"":""Please let me know what you think in the comments.  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" .  Thanks for watching!""}"
Ugz_mFHGi03iUrn7Xgp4AaABAg.9FWzzzKZXjy9FX-Old5omS,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-01T16:18:27.034167+00:00,0,Ugz_mFHGi03iUrn7Xgp4AaABAg,, -l7e6mcQrp4,"{""text"":""Glad it was helpful, thanks for watching!""}"
UgxEkFlDIlUJXwocvPZ4AaABAg.9FUmgILGthx9FVH09cGXPM,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-01T00:13:53.71874+00:00,0,UgxEkFlDIlUJXwocvPZ4AaABAg,,sF_sjFqNFUk,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgxFVPC9M1qfJcsg6xp4AaABAg.9FUnISEe5Hn9FVGzt6lzFW,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-01T00:13:43.300414+00:00,0,UgxFVPC9M1qfJcsg6xp4AaABAg,,GJBc6z6p0KQ,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugxrwi7b0VbXF4utAO14AaABAg.9FUwvQXGd_d9FVGwlIm9Hj,UCPUuVY7w8brL0r__P8UBgyQ,2020-11-01T00:13:17.737698+00:00,0,Ugxrwi7b0VbXF4utAO14AaABAg,,mXFDAz3S9Uk,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgxROua5UTPQObfV0hZ4AaABAg.9FS9Grwc9Iw9FUXlri5kKW,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-31T17:21:06.905297+00:00,0,UgxROua5UTPQObfV0hZ4AaABAg,,Uh_-RZQIaEs,"{""text"":""I'm glad it was helpful, thanks for watching!""}"
UgxheN0uqTCt8-ajs0N4AaABAg.9FUWf-nPd9k9FUXjoQ1LGV,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-31T17:20:50.076366+00:00,0,UgxheN0uqTCt8-ajs0N4AaABAg,,LQf2Vd-frsA,"{""text"":""Glad you liked it, thanks for watching!""}"
UgwFrMFtVXevEM7r9Y54AaABAg.9FUSH7Dgb_19FUXi2lrByP,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-31T17:20:35.673253+00:00,0,UgwFrMFtVXevEM7r9Y54AaABAg,,Z_V93Ex2VFc,"{""text"":""Glad it was helpful, thanks for watching!""}"
Ugyo--2Q7zz6QAJjj9h4AaABAg.9FS-mv2ExQ39FSt_BfOwlu,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-31T02:01:52.848319+00:00,0,Ugyo--2Q7zz6QAJjj9h4AaABAg,,mXFDAz3S9Uk,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgwCCEqJIhlcRc8JtxF4AaABAg.9FScKzCbAQa9FStYoomlgF,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-31T02:01:41.604779+00:00,0,UgwCCEqJIhlcRc8JtxF4AaABAg,,AHj7PQ4SD3w,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugxpl1NloQ0kUUWUL3F4AaABAg.9FNmLTGJD7K9FPQCHMTzf4,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-29T17:38:45.016219+00:00,0,Ugxpl1NloQ0kUUWUL3F4AaABAg,,m7c45On2eYk,"{""text"":""Glad you like them, thanks for watching!""}"
Ugy-ASNlkCrpkUdyzzh4AaABAg.9FP8ZjtkuSN9FP955lpEEu,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-29T15:09:13.298295+00:00,0,Ugy-ASNlkCrpkUdyzzh4AaABAg,,faM4tTh1JEc,"{""text"":""Mark, I'm working on the TV video and hope to have it up soon.  If you're subscribed hopefully you are notified when it goes up.  I'll include details about dimensions in the video.  Thanks for watching!""}"
UgyRmQDIU7reoXC0RyN4AaABAg.9FNx2exC4rz9FO--6poKLB,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-29T04:21:46.92849+00:00,0,UgyRmQDIU7reoXC0RyN4AaABAg,,s_ehZc5N7Lg,"{""text"":""Try plotting out cos and you'll see why this is true.  Try 'Plot[Cos[t],{t,-10,10}]'""}"
UgwqBH4KzHOAyO1yDpZ4AaABAg.9FNobKuKCZe9FNvC1Zqxx-,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-29T03:39:51.376717+00:00,0,UgwqBH4KzHOAyO1yDpZ4AaABAg,,faM4tTh1JEc,"{""text"":""I'm working on putting together a van tour video.  Hopefully it will be up in a few months or so.  Thanks for watching!""}"
UgwpJxiLRof-YLZiieZ4AaABAg.9FKtdSx3cK19FMGwadTd3C,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-28T12:20:06.456001+00:00,0,UgwpJxiLRof-YLZiieZ4AaABAg,,J5jjCtIT9_8,"{""text"":""Glad it was helpful, thanks for watching!""}"
Ugy_4UjovPqUDycA8SJ4AaABAg.9FKtighamfc9FKunP6o0Nr,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-27T23:38:38.103052+00:00,0,Ugy_4UjovPqUDycA8SJ4AaABAg,,FLQXW6G9P8I,"{""text"":""Beni, thanks for the feedback.  I try to keep it as interesting as possible.  My favorite prop is the dog 😁""}"
UgwGlxFa80O_9ehUDgB4AaABAg.9FKagaDjv7-9FKbRHO8ZhA,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-27T20:49:27.233688+00:00,0,UgwGlxFa80O_9ehUDgB4AaABAg,,f8tdTiuj5lo,"{""text"":""I'm glad it was helpful.  This is part of series of videos on Flight Mechanics.  Please feel free to check them out and let me know what you think.  Thanks for watching!""}"
UgyU1heMxhPo9SYqz_t4AaABAg.9FKZS6zr2F09FK_kCkyav_,UCPUuVY7w8brL0r__P8UBgyQ,2020-10-27T20:34:41.893631+00:00,0,UgyU1heMxhPo9SYqz_t4AaABAg,,_M0mOHn0ink,"{""text"":""Aaron, I'm glad it was helpful.  There are several other videos on channel that aim to get people started with Matlab.  I usually tell my MS students to also investigate Mathematica as it is very helpful for coursework and research.  I've got a separate playlist that focuses on Mathematica.  Feel free to check them out and let me know what you think, thanks for watching!""}"
