Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text
UgyDNlS94NTYCy9_u5h4AaABAg.9oxayBbj_wt9oxhN4oHChw,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-26T05:21:07.251114+00:00,0,UgyDNlS94NTYCy9_u5h4AaABAg,,V3iveC_fa04,"{""text"":""I know this topic can be intimidating but in reality, we only need to know a few basic rules to obtain the intuition needed for future control synthesis.  Let me know how things go, hopefully this time around will be a better experience.""}"
UgyzlcmzuqYZMgfLoN14AaABAg.9oxYrP6BmjS9ox_Xq8oVHn,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-26T04:12:41.055519+00:00,0,UgyzlcmzuqYZMgfLoN14AaABAg,,kbGal6xKLB4,"{""text"":""@Seth Whittington"",""mention"":{""externalChannelId"":""UCquNw-zYLRAsy5-a7A3l0UQ""}},{""text"":"" Yep, that is the 'Saturation' block, I recommend you give it a try, it is really easy to use.""}"
UgyzlcmzuqYZMgfLoN14AaABAg.9oxYrP6BmjS9oxZVbFIdIN,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-26T04:03:38.453115+00:00,0,UgyzlcmzuqYZMgfLoN14AaABAg,,kbGal6xKLB4,"{""text"":""Do you have a timestamp?  I'm not sure if this is what I used in the video but there is literally a block called 'Saturation' that is very helpful for this type of activity.""}"
UgwEpVRfnaqHpy6lo-x4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-24T15:20:08.192301+00:00,0,,,V3iveC_fa04,"{""text"":""In case it is helpful, here are all my Control Theory videos in a single playlist ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrF9KOQRB9ByfB0EUMwnLO9o"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrF9KOQRB9ByfB0EUMwnLO9o""}},{""text"":"".  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or by clicking the 'THANKS' button underneath the video.  Please let me know what you think in the comments.  Thanks for watching!""}"
UgxmzEI230N99CpRGvR4AaABAg.9oqaWJw81mM9orDqQqAMr7,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-23T16:58:56.289584+00:00,0,UgxmzEI230N99CpRGvR4AaABAg,,m7c45On2eYk,"{""text"":""Hi Paul,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  I can also answer any questions, provide code, notes, downloads, etc. on Patreon.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgxqBLgwFIdTBwHl4BB4AaABAg.9oobXyHA43j9oocTiyOxhY,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-22T16:45:10.333166+00:00,0,UgxqBLgwFIdTBwHl4BB4AaABAg,,evVi_D7C6mA,"{""text"":""Hi Charles,\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""First let me say thank you for your generous support of the channel, it is very much appreciated!\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""Do you have any particular interests in terms of videos or topics?  I try to prioritize request made by interested parties as much as possible as I plan future videos.\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""If you are interested, I interact personally with all Patreon members at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  Given your interest in the topic, I'd love to have you as a Patron.\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""In any event, I want to again say thank you for your contribution and for supporting the channel.  I hope to hear from you at a future YouTube video or on Patreon!\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""-Chris""}"
UgwjasRsdySBStap1X14AaABAg.9onADiYjOHn9onCI9mOVvv,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-22T03:28:25.365456+00:00,0,UgwjasRsdySBStap1X14AaABAg,,0ZUp07xP--A,"{""text"":""It is usually a combinations of factors but at the end of the day, it is whatever goes into the calculation of wn and zeta in your 2nd order equations.  For a mass/spring/damper this might be a combination of mass, spring constant, and damping constant.""}"
Ugymcjw276kNAghym-54AaABAg.9okjCl6tjM99okjijrSsgh,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-21T04:31:33.65754+00:00,0,Ugymcjw276kNAghym-54AaABAg,,KX7GNqy3k7w,"{""text"":""Thanks, I got in a little bit of trouble for \""borrowing\"" the lunch sack but hopefully it is worth it :)""}"
UgwwtkclknCvey-OQ4R4AaABAg.9ogVppXe0NH9oh53Ai79Ux,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-19T18:29:46.036438+00:00,0,UgwwtkclknCvey-OQ4R4AaABAg,,aoFakXGYOH0,"{""text"":""The DC gain can be read off the body plot by looking at the left-most value.  This is because this corresponds to G(j*0) which is effectively a step/constant input (ie a sin wave with 0 angular frequency).""}"
UgzSfmQAzAYr1g-2Wu14AaABAg.9ogWPPABQJz9ogqGKFVgRq,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-19T16:11:45.12368+00:00,0,UgzSfmQAzAYr1g-2Wu14AaABAg,,KX7GNqy3k7w,"{""text"":""Great, I'm glad it was helpful.  I got a little bit of trouble for stealing the lunch sack :)""}"
Ugwihfy9HsYiGfJ55Lt4AaABAg.9ofdPxQkd9E9ofkcNhcRBC,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-19T06:03:13.762554+00:00,0,Ugwihfy9HsYiGfJ55Lt4AaABAg,,KX7GNqy3k7w,"{""text"":""Great, I'm glad it was helpful.  I caught some grief from my daughter for stealing her lunch sack for my demo :)""}"
Ugyr0AtgkWkGiQBo9lt4AaABAg.9ofRr6g_hUB9ofTruBLaMg,UCPUuVY7w8brL0r__P8UBgyQ,2023-04-19T03:28:03.80154+00:00,0,Ugyr0AtgkWkGiQBo9lt4AaABAg,,aoFakXGYOH0,"{""text"":""Wow, you are knocking these videos out right away, nice!""}"
