Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text
Ugz4ESAKix88QVP-UDh4AaABAg.9CXiJp63pT19ChsWaW6Vs0,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:26:19.061736+00:00,0,Ugz4ESAKix88QVP-UDh4AaABAg,Uh_-RZQIaEs,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgxRCy9PGWVpeE7o2dl4AaABAg.9CbBaCexUog9ChsSgXNBL6,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:25:47.085063+00:00,0,UgxRCy9PGWVpeE7o2dl4AaABAg,uTabQKD2WMs,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugx5vFGMzjTNgtb0o8d4AaABAg.9CeuzGTYBL_9ChsQLDF_j3,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:25:27.771555+00:00,0,Ugx5vFGMzjTNgtb0o8d4AaABAg,n829SwSUZ_c,"{""text"":""😀""}"
UgxnMPqgpERTUGfk9nt4AaABAg.9Cfi4RpGO189ChsO9pIBOh,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:25:09.988871+00:00,0,UgxnMPqgpERTUGfk9nt4AaABAg,NF_Q282V_uo,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgxY8El7tFo-WxRUI0J4AaABAg.9ChrwqO7gBW9ChsFrSYy8U,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:24:01.987819+00:00,0,UgxY8El7tFo-WxRUI0J4AaABAg,m7c45On2eYk,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
Ugwsqr1u7hWtWISQz494AaABAg.9Chl8UX1DJk9ChsDGkcX7T,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:23:40.773111+00:00,0,Ugwsqr1u7hWtWISQz494AaABAg,WLPvCefp6Qo,"{""text"":""I'm glad it was helpful.  There are several related videos on the channel.   Please feel free to check them out and I would love to hear what you think in the comments.   Thanks for watching!""}"
UgxznR6Gar24N9oH5Td4AaABAg.9Chk2uRHk369ChrhrFOTSD,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:19:15.232292+00:00,0,UgxznR6Gar24N9oH5Td4AaABAg,wEevt2a4SKI,"{""text"":""Yes,  I hope to have this up soon""}"
UgwugIml7Msd1zQxeZR4AaABAg.9Ch3Au1gzYk9ChrfublgoA,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-23T17:18:59.271662+00:00,0,UgwugIml7Msd1zQxeZR4AaABAg,9vCTokJ5RQ8,"{""text"":""Ix, great to hear from your again.   I will try to work on a video to explain this in greater detail.   I hope it will be up later in the fall.""}"
Ugw4bUu7UP2PaeHGZgR4AaABAg.9CcYO0QNBXS9CfH6iN_3xs,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-22T17:12:15.246059+00:00,0,Ugw4bUu7UP2PaeHGZgR4AaABAg,G2Gydmk5njM,"{""text"":""Yeah, the channel is a bit of a mash up of content I'm interested in.  Hopefully you're able to find something interesting amid the clutter :).  Thanks for watching!""}"
UgxeiOtGHPTZUKX_l5d4AaABAg.9Ceko_7oZ5o9CfGzvhtfeH,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-22T17:11:11.323171+00:00,0,UgxeiOtGHPTZUKX_l5d4AaABAg,NF_Q282V_uo,"{""text"":""Kalanos, thanks for the kind words, I'm glad you are getting something out of the videos.  Please let me know what you think of other videos, I would love to hear from you again in the future.  Thanks for watching!""}"
UgyMlcHivwIo-3nguF54AaABAg.9CabHcxE1Gt9CafU_AAv3L,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-20T22:17:45.753513+00:00,0,UgyMlcHivwIo-3nguF54AaABAg,1zIIcYfp5QA,"{""text"":""I'm glad it was helpful.   Thanks for watching!""}"
UgzDgJsO5SeCG6-yem14AaABAg.9CWguVXXQeT9CYLo81vMUF,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-19T15:19:20.848077+00:00,0,UgzDgJsO5SeCG6-yem14AaABAg,NTV9anV-TxY,"{""text"":""I'm glad it was helpful.  Thanks for watching!""}"
UgwPPm4g5_5F3rljp3Z4AaABAg.9CTx4P167PO9CTyJYk6EXI,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-17T22:28:21.447473+00:00,0,UgwPPm4g5_5F3rljp3Z4AaABAg,G2Gydmk5njM,"{""text"":""Hi Mark, thanks for the kind words.  I'm glad to run into someone else who has played with Mathematica :).  I hope to hear from you again at another video.  Thanks for watching!""}"
Ugxc8Te86NrPz2CN73p4AaABAg.9CT-Xulp3569CTqGmxNgar,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-17T21:18:04.49147+00:00,0,Ugxc8Te86NrPz2CN73p4AaABAg,G2Gydmk5njM,"{""text"":""I needed to route a cable for a rear-view dashcam.  I'll post this video soon.  Thanks for watching!""}"
UgwaZPpcUtZ1bsPu8v54AaABAg.9CPIlXf_Zwf9CTBMYQ8bJf,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-17T15:11:51.564881+00:00,0,UgwaZPpcUtZ1bsPu8v54AaABAg,Pl9JZUrEWrQ,"{""text"":""I've got a video detailing the seats at ""},{""text"":""https://youtu.be/Z_V93Ex2VFc"",""videoLink"":{""externalVideoId"":""Z_V93Ex2VFc""}}"
UgySHQ4qn7cd2mOhSQV4AaABAg.9CSpdacDrsN9CTBHgoC0Lf,UCPUuVY7w8brL0r__P8UBgyQ,2020-08-17T15:11:11.788913+00:00,0,UgySHQ4qn7cd2mOhSQV4AaABAg,Pl9JZUrEWrQ,"{""text"":""Glad it was helpful.  Here are all my van videos in a single playlist ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrF5nO7cmNTc4cct0miFWdO6"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrF5nO7cmNTc4cct0miFWdO6""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
