Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text
Ugyow_SfCsFeD17TUlp4AaABAg.9cmGFriP6hb9cmXfcadjXH,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T14:59:17.637938+00:00,0,Ugyow_SfCsFeD17TUlp4AaABAg,,yr6om0e0oAQ,"{""text"":""Hi Aakash,\r""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!\r""},{""text"":""\n""},{""text"":""-Chris""}"
UgyEYxGn9eM5YdZVV5J4AaABAg.9cegHVQZy_O9clVr0sLblD,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:24:07.935122+00:00,0,UgyEYxGn9eM5YdZVV5J4AaABAg,,Uh_-RZQIaEs,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
Ugx2S__tbWAzB_oT48N4AaABAg.9cgjalpizNz9clVlA9ccGr,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:23:19.959023+00:00,0,Ugx2S__tbWAzB_oT48N4AaABAg,,s_ehZc5N7Lg,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for reaching out, I'm glad you enjoyed the video.  Unfortunately I'm unable to respond to questions on YouTube due to the sheer volume of inquiries that I receive.  That being said, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video as I'll be able to answer questions there.  Given your interest in the topic, I'd love to have you as a Patron as I'm able to talk/interact personally with Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgyfLadsa8VDxF-TsnR4AaABAg.9ch7F5sNTZ99clVk7lpSzn,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:23:11.462416+00:00,0,UgyfLadsa8VDxF-TsnR4AaABAg,,9WnbPodUZEc,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
Ugz1nIlbOdWIYBOnkzh4AaABAg.9chRGKcNalc9clVj72OjYK,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:23:02.996125+00:00,0,Ugz1nIlbOdWIYBOnkzh4AaABAg,,QWCLthgJEbc,"{""text"":""Hi Robert,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgyDKefByXTzacPM1ph4AaABAg.9cjLVNXJwrb9clVbAK1szX,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:21:58.063859+00:00,0,UgyDKefByXTzacPM1ph4AaABAg,,GJBc6z6p0KQ,"{""text"":""Hi Viren,""},{""text"":""\n""},{""text"":""Thanks for reaching out, I'm glad you enjoyed the video.  Unfortunately I'm unable to respond to questions on YouTube due to the sheer volume of inquiries that I receive.  That being said, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video as I'll be able to answer questions there.  Given your interest in the topic, I'd love to have you as a Patron as I'm able to talk/interact personally with Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
Ugz50WVaEk3FXtptzM14AaABAg.9cjePUBAnwH9clVZPoojXW,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:21:35.512721+00:00,0,Ugz50WVaEk3FXtptzM14AaABAg,,5L-w143fEQA,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgyxC9mJTrZfqfmKDNd4AaABAg.9ckRpdqjGxn9clVYj8zo7f,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:21:29.92721+00:00,0,UgyxC9mJTrZfqfmKDNd4AaABAg,,RPzFLzKkQGs,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgyJ1zrHvr3hq0o8h8d4AaABAg.9ckc6RMt2K09clVY-V3fd0,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:21:23.948794+00:00,0,UgyJ1zrHvr3hq0o8h8d4AaABAg,,4TGqICzM5XM,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
UgwCjMGVpO9DHNpck894AaABAg.9cl0Qcu_Ggs9clVWPHCX_w,UCPUuVY7w8brL0r__P8UBgyQ,2022-06-27T05:21:10.828589+00:00,0,UgwCjMGVpO9DHNpck894AaABAg,,qCgqYNhmmDE,"{""text"":""Hi,""},{""text"":""\n""},{""text"":""Thanks for the kind words, I'm glad you enjoyed the video.  If you find these videos helpful, I hope you'll consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or via the 'Thanks' button underneath the video.  Given your interest in this topic, I'd love to have you a as a Patron as I'm able to talk/interact personally with all Patrons.  Thanks for watching!""},{""text"":""\n""},{""text"":""-Chris""}"
