Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text
UgylqwrDKrpVv_QGSmN4AaABAg.99-zqgPQuBg992bDM3ixBr,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T17:52:51.445809+00:00,0,UgylqwrDKrpVv_QGSmN4AaABAg,Mq2YggNeCLs,"{""text"":""Hi Andrew, thanks for the heads up, I wasn't aware of this.  I'm heading to the garage to clean up the wheel right now :)""}"
Ugx9OcjjavDTAuNIDp54AaABAg.98zoQJmUdJY992b28JKw7b,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T17:51:19.575242+00:00,0,Ugx9OcjjavDTAuNIDp54AaABAg,1VmeijdM1qs,"{""text"":""Anthony, haha, very good catch, I didn't even notice that when I was filming the video :)""}"
Ugy2BuK_FhWr2iSP9fN4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T17:13:36.518244+00:00,0,,4TGqICzM5XM,"{""text"":""In case it is helpful, all my Matlab videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEU0dLSrTcl0-w9cVYKMTaF"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEU0dLSrTcl0-w9cVYKMTaF""}},{""text"":"".  All my Flight Mechanics videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h""}},{""text"":"".  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
Ugza1fRtmgbD5A1VAzt4AaABAg.9913NeXRxfa9914AMjKHba,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T03:36:06.745626+00:00,0,Ugza1fRtmgbD5A1VAzt4AaABAg,of8Gc_mE3ic,"{""text"":""I currently have a 100W solar array but this is a freestanding system as opposed to a permanent roof mounted solution.  I'm trying to get a video up detailing the electrical system soon so please stay tuned.  Thanks for watching!""}"
UgzISKiTwndM77ag1UR4AaABAg.9910r0OYSGm99140qddBMa,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T03:34:48.775837+00:00,0,UgzISKiTwndM77ag1UR4AaABAg,IAut5Y-Ns7g,"{""text"":""I'm glad it was helpful.  I've got more PDE videos on the channel.  Please feel free to check them out and please let me know what you think in the comments.  Thanks for watching!""}"
UgxJAiBcHhdLeiDmJv54AaABAg.990ZgF5eoGj9913z7lHBGP,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-24T03:34:26.537801+00:00,0,UgxJAiBcHhdLeiDmJv54AaABAg,Z_V93Ex2VFc,"{""text"":""I'm glad it was helpful.  I've got a bunch more van videos on the channel.  Please feel free to check them out and please let me know what you think in the comments.  Thanks for watching!""}"
UgyMS2o-z90b3PdARHB4AaABAg.98zL51tUHtF98zOIRxH3gJ,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-23T02:34:15.41373+00:00,0,UgyMS2o-z90b3PdARHB4AaABAg,G2gxvRjQHxc,"{""text"":""I'm glad it was helpful. There are other similar videos on the channel please feel free to check them out and let me know what you think in the comments. Thanks for watching!""}"
Ugx08rxYZLl3lMgn0DF4AaABAg.98vtO3_p7fe98wJh4jbEPK,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-21T21:56:20.668401+00:00,0,Ugx08rxYZLl3lMgn0DF4AaABAg,m7c45On2eYk,"{""text"":""I'm glad it helped.  I have more Blender videos at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrG9vYaQMDE0A16c4M52b7vJ"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrG9vYaQMDE0A16c4M52b7vJ""}},{""text"":"".  Please feel free to check them out and let me know what you think.  Thanks for watching!""}"
Ugz35EgNFYHD5BkDIqh4AaABAg.98vWQt4f1pU98wJcCxLgx4,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-21T21:55:40.764997+00:00,0,Ugz35EgNFYHD5BkDIqh4AaABAg,bFFAL9lI2IQ,"{""text"":""I'm glad it was helpful.  There are similar videos at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h""}},{""text"":"".  Please feel free to check them out and let me know what you think, thanks for watching!""}"
UgwYqAc3x-qU3ZTGIM14AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-21T21:34:38.753192+00:00,0,,1VmeijdM1qs,"{""text"":""In case it is helpful, I have all my 'Flight Mechanics' videos in a single playlist at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h""}},{""text"":"".  All my 'Control Theory' videos in a single playlist is located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrF9KOQRB9ByfB0EUMwnLO9o"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrF9KOQRB9ByfB0EUMwnLO9o""}},{""text"":"".  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
Ugz2Rn2UHBfwWF4TxKZ4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-21T19:46:07.614111+00:00,0,,G2gxvRjQHxc,"{""text"":""In case it is helpful, I have all my 'Vector Differential Calculus' videos in a single playlist at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrF92Lr54CSJkSlpNWPTpkel""},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
UgxtrPEj9XnEUgJq3f14AaABAg.98tFFe61f_c98tGrBK3zef,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-20T17:33:47.283778+00:00,0,UgxtrPEj9XnEUgJq3f14AaABAg,RPzFLzKkQGs,"{""text"":""I'm glad it was helpful.  I have other similar videos at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEU0dLSrTcl0-w9cVYKMTaF"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEU0dLSrTcl0-w9cVYKMTaF""}},{""text"":"".  Please feel free to check them out and let me know what you think in the comments.  Thanks for watching!""}"
UgzYN2qvQnOqPv1pgSZ4AaABAg.98t576G7Swv98tGkMCxJi3,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-20T17:32:51.27478+00:00,0,UgzYN2qvQnOqPv1pgSZ4AaABAg,IAut5Y-Ns7g,"{""text"":""Great to hear from you again, I'm glad it was helpful.  Thanks for watching and let me know what you think of the other PDE videos.""}"
